Sample_Name	Weight	Mutation_Info	SJ_File
TCGA-14-0789	4.1572	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-14-0789-01A-01R-1849-01.SJ.out.tab
TCGA-14-0790	3.5807	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-14-0790-01B-01R-1849-01.SJ.out.tab
TCGA-14-0817	4.9974	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-14-0817-01A-01R-1849-01.SJ.out.tab
TCGA-14-0871	0.8213	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-14-0871-01A-01R-1849-01.SJ.out.tab
TCGA-14-1034	3.8634	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-14-1034-01A-01R-1849-01.SJ.out.tab
TCGA-14-1823	4.0387	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-14-1823-01A-01R-1849-01.SJ.out.tab
TCGA-14-1825	1.4411	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-14-1825-01A-01R-1850-01.SJ.out.tab
TCGA-14-1829	4.4265	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-14-1829-01A-01R-1850-01.SJ.out.tab
TCGA-14-2554	5.5876	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-14-2554-01A-01R-1850-01.SJ.out.tab
TCGA-15-0742	4.8555	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-15-0742-01A-01R-1850-01.SJ.out.tab
TCGA-15-1444	6.2581	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-15-1444-01A-02R-1850-01.SJ.out.tab
TCGA-16-0846	4.8231	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-16-0846-01A-01R-1850-01.SJ.out.tab
TCGA-16-1045	4.2005	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-16-1045-01B-01R-1850-01.SJ.out.tab
TCGA-19-1390	6.3247	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-19-1390-01A-01R-1850-01.SJ.out.tab
TCGA-19-1787	5.8169	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-19-1787-01B-01R-1850-01.SJ.out.tab
TCGA-19-2619	6.2253	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-19-2619-01A-01R-1850-01.SJ.out.tab
TCGA-19-2620	3.2015	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-19-2620-01A-01R-1850-01.SJ.out.tab
TCGA-19-2624	6.6796	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-19-2624-01A-01R-1850-01.SJ.out.tab
TCGA-19-2625	6.0044	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-19-2625-01A-01R-1850-01.SJ.out.tab
TCGA-19-2629	5.9777	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-19-2629-01A-01R-1850-01.SJ.out.tab
TCGA-19-4065	6.0191	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-19-4065-01A-01R-2005-01.SJ.out.tab
TCGA-19-5960	5.818	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-19-5960-01A-11R-1850-01.SJ.out.tab
TCGA-26-1442	6.2899	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-26-1442-01A-01R-1850-01.SJ.out.tab
TCGA-26-5132	5.2374	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-26-5132-01A-01R-1850-01.SJ.out.tab
TCGA-26-5133	4.9454	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-26-5133-01A-01R-1850-01.SJ.out.tab
TCGA-26-5134	2.0482	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-26-5134-01A-01R-1850-01.SJ.out.tab
TCGA-26-5135	4.0924	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-26-5135-01A-01R-1850-01.SJ.out.tab
TCGA-26-5136	1.8264	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-26-5136-01B-01R-1850-01.SJ.out.tab
TCGA-26-5139	4.7738	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-26-5139-01A-01R-1850-01.SJ.out.tab
TCGA-27-1830	5.1002	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-1830-01A-01R-1850-01.SJ.out.tab
TCGA-27-1831	3.7748	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-1831-01A-01R-1850-01.SJ.out.tab
TCGA-27-1832	6.0361	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-1832-01A-01R-1850-01.SJ.out.tab
TCGA-27-1834	4.5946	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-1834-01A-01R-1850-01.SJ.out.tab
TCGA-27-1835	4.1088	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-1835-01A-01R-1850-01.SJ.out.tab
TCGA-27-1837	2.2103	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-1837-01A-01R-1850-01.SJ.out.tab
TCGA-27-2519	4.9896	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-2519-01A-01R-1850-01.SJ.out.tab
TCGA-27-2521	5.5545	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-2521-01A-01R-1850-01.SJ.out.tab
TCGA-27-2523	5.8193	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-2523-01A-01R-1850-01.SJ.out.tab
